connectome_size,num_connections,time_bct
100,50,0.10578470000000006
150,50,0.22407429999999984
200,50,0.3964861000000002
250,50,0.6026154999999997
300,50,0.8482263999999997
350,50,1.2162134999999994
400,50,1.5959970000000006
450,50,1.985335599999999
500,50,2.4050894000000014
550,50,3.092398600000001
600,50,3.5595581000000003
650,50,4.337845999999999
700,50,4.8811
750,50,5.650499500000002
100,150,0.13993070000000074
150,150,0.2783382999999944
200,150,0.4781066999999979
250,150,0.7389516
300,150,1.032161600000002
350,150,1.4204420000000013
400,150,1.8791682999999963
450,150,2.2861069
500,150,2.814260300000001
550,150,3.6127462999999977
600,150,4.2357913000000025
650,150,4.970693300000001
700,150,5.717706100000001
750,150,6.863881000000006
100,250,0.21834710000000257
150,250,0.3319522000000035
200,250,0.9795252000000119
250,250,5.615444299999993
300,250,8.253316900000002
350,250,10.36315549999999
400,250,13.799360199999995
450,250,18.814619899999997
500,250,25.821413300000017
550,250,26.458783600000004
600,250,32.22848160000001
650,250,11.81212690000001
700,250,17.34051360000001
750,250,47.477392099999975
100,350,1.368129500000009
150,350,2.403050599999972
200,350,4.406911700000023
250,350,6.960528599999975
300,350,9.739970700000015
350,350,11.668684799999994
400,350,16.169922499999984
450,350,17.64248600000002
500,350,24.3471227
550,350,28.417534199999977
600,350,35.29172490000002
650,350,44.352870800000005
700,350,57.20293439999995
750,350,68.47821099999999
100,450,3.3923132999999552
150,450,4.505250499999988
200,450,6.087579300000016
250,450,8.020893900000033
300,450,12.113390299999992
350,450,15.468025600000033
400,450,20.295141200000103
450,450,25.29003560000001
500,450,29.074057700000026
550,450,35.05838019999999
600,450,47.156481299999996
650,450,59.08641490000002
700,450,67.52234929999997
750,450,80.13749499999994
100,550,4.872729100000015
150,550,5.7148116000000755
200,550,6.994359700000132
250,550,9.58740970000008
300,550,13.20262700000012
350,550,16.65089429999989
400,550,22.4292468000001
450,550,29.42895560000011
500,550,31.45175169999993
550,550,44.38787330000014
600,550,50.69471429999999
650,550,46.866445099999964
700,550,52.9226900000001
750,550,72.4166659
100,650,5.272757400000046
150,650,5.130669200000057
200,650,5.631921700000021
250,650,9.213952000000063
300,650,12.48496780000005
350,650,15.840729900000042
400,650,13.909823699999833
450,650,3.3992258999999194
500,650,4.147644000000128
550,650,5.341581899999937
600,650,6.3353204000000005
650,650,7.437523600000077
700,650,8.582439500000191
750,650,9.882665899999893
100,750,0.7921850000000177
150,750,0.8123573999998825
200,750,0.9239238000000114
250,750,1.1581260000000384
300,750,1.5720459000001483
350,750,2.0715758999999707
400,750,2.8049286000000393
450,750,3.5034527000000253
500,750,4.296935900000108
550,750,5.5873569999998836
600,750,6.603224799999907
650,750,7.713462700000036
700,750,8.98281739999993
750,750,10.408758499999976
100,850,0.9504053000000567
150,850,0.9751903000001221
200,850,1.048462900000004
250,850,1.2673425999998926
300,850,1.6708094000000528
350,850,2.1515574000000015
400,850,2.9277947999999014
450,850,3.669060400000035
500,850,4.504693399999951
550,850,5.82545140000002
600,850,6.981188100000054
650,850,8.110205899999983
700,850,9.390065599999843
750,850,10.633404200000086
100,950,1.1396537999999055
150,950,1.1691134999998667
200,950,1.2357796999999664
250,950,1.4131265999999414
300,950,1.8191335000001345
350,950,2.2576758999998674
400,950,3.016245300000037
450,950,3.831501399999979
500,950,4.594967100000076
550,950,6.069661100000076
600,950,7.196206300000085
650,950,8.357697499999858
700,950,9.72148059999995
750,950,11.153483999999935
